name,entropy_levenshtein,mean_levenshtein,std_levenshtein,median_levenshtein,max_levenshtein,entropy_len,mean_len,std_len,median_len,min_len,max_len,entropy_shannon_entropy,mean_shannon_entropy,median_shannon_entropy,min_shannon_entropy,max_shannon_entropy,entropy_unique_trimers,mean_unique_trimers,std_unique_trimers,median_unique_trimers,min_unique_trimers,max_unique_trimers,entropy_unique_trimers_on_all
DPPIV_inhibitory_activity,1.421015105323115,13.846188600536394,9.99139385697814,13.0,90.0,2.3362708326230246,10.864559819413092,9.638680100323331,9.0,2,90,2.231630108340601,2.340368689380416,2.584962500721156,0.0,4.08746284125034,2.340233506132912,8.71933784800602,9.315969808170623,7.0,0,87,0.8748360970687543
HemoPI1,1.3415473516160143,21.108794108380593,9.41305105712757,20.0,94.0,2.5312870775742664,20.472826086956523,9.633839098788627,18.0,4,98,2.695136480777704,2.9794360952427947,3.09306920777189,0.8524051786494786,4.1162646156680225,2.558177693291015,17.78894927536232,9.622956454487532,16.0,2,95,0.5412965874259605
HemoPI2,1.3778835218480456,20.127936696894366,8.889144528691176,19.0,96.0,2.5499705195877067,19.897435897435898,9.276879136974083,18.0,2,98,2.7488024995851013,2.7169377811794746,2.7995695010774506,0.0,4.074467990711882,2.617133760301948,16.76232741617357,9.263495454460507,15.0,0,95,1.7645897581964882
HemoPI3,1.4699589374325428,22.187493633318688,9.646414987040405,21.0,96.0,2.715979962576353,21.7268803945746,10.377047374676193,20.0,2,98,2.8227633024659244,2.836951911604206,2.930901017544871,0.0,4.043126292112598,2.724544620482232,18.75277435265105,10.272905672039299,17.0,0,95,1.6567778559509065
Hemo_HAPPENN,2.007942079282449,17.436485177751614,5.461209894068468,17.0,35.0,2.990145514279237,17.684055644729803,6.510638076551165,17.0,7,35,3.0281048943921287,2.6716092746580764,2.7998144947809847,0.4689955935892812,3.9841837197791894,2.885623346578855,14.781968967362225,6.632065867797109,13.0,2,33,1.6822607066048483
ace_inhibitory_activity,1.2255830519062958,9.970391151836463,5.90774562140008,8.0,79.0,2.390509028210905,8.805619707467283,5.528526273157354,7.0,5,81,2.9577290922565234,2.5008036471953323,2.4056390622295662,0.5916727785823275,4.095795255000934,2.3919222658965125,6.783294842186297,5.503200657208421,5.0,2,78,0.10932160031195365
ace_vaxinpad,2.2636540726034498,13.848849885073012,6.043977941779173,14.0,30.0,2.1073881130979917,11.915697674418604,7.000738173819007,10.0,3,30,2.398395791093241,2.451021528278851,2.5,0.0,3.9182958340544896,2.064264472230067,9.542151162790697,6.7387694705450345,8.0,1,28,0.4783646223807991
acp_anticp,1.742312450344206,28.32312339720537,11.872777179768137,27.0,94.0,2.2418309473970774,25.99109131403118,13.958095444236458,25.0,5,97,2.3384460995877077,3.2105665006514257,3.288320189106,0.9975025463691153,4.031516651189607,2.308823337043234,23.58574610244989,13.765855306791446,23.0,3,94,0.35623870455759366
acp_iacp,1.3625457672445862,25.67426649540292,10.247537214655864,24.0,92.0,2.196387834952595,25.488372093023255,10.643803947189085,25.0,11,97,2.297803104005718,3.232686980682249,3.295034674247872,1.5566567074628228,3.9828566633247835,2.2553700330362,22.936046511627907,10.345568794041982,22.0,5,94,1.3445659904895477
acp_mlacp,2.027807462234758,25.800809409014537,7.582051922916709,25.0,49.0,2.419488184200494,26.499145299145297,9.250756455338243,25.0,11,50,2.551611181594992,3.2449262614495353,3.276108478543875,1.181899057917561,4.031516651189607,2.449096173613973,24.0017094017094,9.265965504795787,23.0,5,48,1.2816588679465888
